url,last_crawled_gsc,current_status_code,current_indexability,current_indexability_status,inlinks_old_triage,word_count_old_triage,duplicate_title_count_old_triage,flags_old_triage,title_old_triage,action_bucket,priority,reason
https://defiliban.io/market/,1970-01-01,200,Indexable,,20768,401,38,duplicate_title:38;wordcount_lt700,Market - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
https://defiliban.io/crypto/,1970-01-01,200,Indexable,,10452,401,144,duplicate_title:144;wordcount_lt700,Crypto - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
https://defiliban.io/news/,1970-01-01,200,Indexable,,7693,432,37,duplicate_title:37;wordcount_lt700,News - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
https://defiliban.io/blog/,1970-01-01,200,Indexable,,6132,418,233,duplicate_title:233;wordcount_lt700,Blog - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
https://defiliban.io/market/binance/,1970-01-01,200,Indexable,,5755,404,6,duplicate_title:6;wordcount_lt700,Binance - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
https://defiliban.io/crypto/bitcoin/,1970-01-01,200,Indexable,,2102,419,47,duplicate_title:47;wordcount_lt700,Bitcoin - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
https://defiliban.io/market/business/,1970-01-01,200,Indexable,,1018,410,24,duplicate_title:24;wordcount_lt700,Business - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
https://defiliban.io/crypto/ethereum/,1970-01-01,200,Indexable,,841,391,16,duplicate_title:16;wordcount_lt700,Ethereum - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
https://defiliban.io/cmc/,1970-01-01,200,Indexable,,826,523,22,duplicate_title:22;wordcount_lt700,CMC - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
https://defiliban.io/crypto/tether/,1970-01-01,200,Indexable,,245,379,2,duplicate_title:2;wordcount_lt700,Tether - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
https://defiliban.io/crypto/forex/,1970-01-01,200,Indexable,,198,198,1,wordcount_lt700,Forex - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
https://defiliban.io/news/stocks/,1970-01-01,200,Indexable,,137,391,2,duplicate_title:2;wordcount_lt700,Stocks - DeFiliban,keep_and_push,high,Core hub/category page worth keeping indexed and strengthening.
