broken_target,decision,destination,reason
https://defiliban.io/bitcoin-etfs-lose-296m-ethereum-etf-flows-weaken/,approve,https://defiliban.io/bitcoin-etfs-outflows-ethereum-inflows/,"Live target is the same ETF outflow/inflow story with a cleaner slug."
https://defiliban.io/based-binance-alpha-defi-liquidity-impact/,approve,https://defiliban.io/based-binance-alpha-listing/,"Canonical live page exists with the same title; approved to canonical instead of duplicate variant."
https://defiliban.io/eth-whales-111-9m-20x-long-draws-focus-as-market-rises/,approve,https://defiliban.io/eth-whale-50000-eth-20x-long-111-9m-market-rebound/,"Live target title matches the broken target closely and covers the same whale long story."
https://defiliban.io/trust-wallet-ai-agents-binance-220m-user-wallet-enables-crypto-trading-bots/,approve,https://defiliban.io/trust-wallet-ai-agents-crypto-trading-220-million-users/,"Live target title matches the same Trust Wallet AI agents story."
https://defiliban.io/genius-featured-on-binance-alpha-evidence-timing-and-what-to-watch/,approve,https://defiliban.io/genius-featured-binance-alpha/,"Live target title matches exactly apart from slug shortening."
https://defiliban.io/sen-cynthia-lummis-clarity-act/,approve,https://defiliban.io/cynthia-lummis-urges-immediate-passage-of-the-clarity-act/,"Live target title matches the same Clarity Act article."
https://defiliban.io/scroll-scr-pre-market-on-binance-why-an-8m-market-cap-is-drawing-attention/,approve,https://defiliban.io/scroll-scr-binance-first-pre-market-8m-market-cap/,"Live target title matches the same Scroll SCR pre-market story."
https://defiliban.io/u-s-government-moves-8-2-btc-to-coinbase-prime-in-bitfinex-seized-funds-transfer/,approve,https://defiliban.io/us-government-bitfinex-seized-funds-8-2-btc-coinbase-prime/,"Live target title matches the same Bitfinex-seized funds transfer story."
https://defiliban.io/strategy-buys-btc-michael-saylor/,approve,https://defiliban.io/michael-saylor-strategy-buys-22337-btc-1-6-billion/,"Live target title clearly covers Strategy buying BTC with Michael Saylor in the headline."
https://defiliban.io/dubai-sets-official-rules-for-crypto-exchange-derivatives/,approve,https://defiliban.io/dubai-crypto-derivatives-rules/,"Live target title matches exactly with a shorter slug."
https://defiliban.io/canadian-fintech-delphx-crypto-treasury/,approve,https://defiliban.io/delphx-capital-markets-delx-crypto-treasury-plans/,"Live target title matches the same Delphx crypto treasury story."
https://defiliban.io/bitcoin-etfs-lose-296m-as-ethereum-etf-flows-also-weaken/,approve,https://defiliban.io/bitcoin-etfs-outflows-ethereum-inflows/,"This is another title variant of the same ETF outflow/inflow story."
