source_url,broken_target,anchor_text,action_taken,replacement_url,status
https://defiliban.io/grayscale-hype-etf-claim-lacks-sec-s1-proof/,https://defiliban.io/bitcoin-margin-collateral-cftc-opens-door-for-fcms/,CFTC's recent moves on crypto margin collateral,replace_link,https://defiliban.io/cftc-bitcoin-margin-collateral-fcms/,already_clean
https://defiliban.io/top-5-crypto-news-last-24-hours-mantle-lending-1-35b/,https://defiliban.io/bitcoin-margin-collateral-cftc-opens-door-for-fcms/,CFTC's recent moves on Bitcoin margin collateral,replace_link,https://defiliban.io/cftc-bitcoin-margin-collateral-fcms/,already_clean
https://defiliban.io/bitcoin-etf-flows-today-1d-net-outflow-1488-btc/,https://defiliban.io/bitcoin-margin-collateral-cftc-opens-door-for-fcms/,CFTC's recent move to allow Bitcoin as margin collateral,replace_link,https://defiliban.io/cftc-bitcoin-margin-collateral-fcms/,already_clean
https://defiliban.io/wallet-0x527-withdraws-219342-link-from-binance-raising-holdings-to-784954-link/,https://defiliban.io/american-bitcoin-deploys-nearly-11300-new-mining-rigs/,institutional-scale Bitcoin mining deployments,replace_link,https://defiliban.io/american-bitcoin-deployed-nearly-11300-new-mining-rigs/,already_clean
https://defiliban.io/balancer-exploiter-wallet-swaps-21000-eth-for-617-43-btc-over-three-days/,https://defiliban.io/american-bitcoin-deploys-nearly-11300-new-mining-rigs/,Bitcoin network activity,replace_link,https://defiliban.io/american-bitcoin-deployed-nearly-11300-new-mining-rigs/,already_clean
https://defiliban.io/admiral-samuel-paparo-bitcoin-national-interest/,https://defiliban.io/american-bitcoin-deploys-nearly-11300-new-mining-rigs/,American Bitcoin recently deployed nearly 11,300 new mining rigs,replace_link,https://defiliban.io/american-bitcoin-deployed-nearly-11300-new-mining-rigs/,already_clean
https://defiliban.io/circle-usdc-freeze-criticism-drift-exploit/,https://defiliban.io/drift-protocol-exploit-reported-270m-sent-to-hkgz4k/,Drift Protocol Exploit: Reported $270M Sent to HkGz4K,replace_link,https://defiliban.io/drift-protocol-exploit-270m-hkgz4k/,already_clean
https://defiliban.io/circle-usdc-freeze-criticism-drift-exploit/,https://defiliban.io/drift-protocol-exploit-reported-270m-sent-to-hkgz4k/,Drift Protocol Exploit: Reported $270M Sent to HkGz4K,replace_link,https://defiliban.io/drift-protocol-exploit-270m-hkgz4k/,already_clean
https://defiliban.io/trader-hxirsk-sells-another-47401-sol-after-1604m-buy/,https://defiliban.io/drift-protocol-exploit-reported-270m-sent-to-hkgz4k/,Drift Protocol exploit,replace_link,https://defiliban.io/drift-protocol-exploit-270m-hkgz4k/,already_clean
https://defiliban.io/cftc-doj-lawsuit-against-illinois-verified-filings/,https://defiliban.io/circle-faces-usdc-freeze-criticism-after-drift-exploit/,Circle Faces USDC Freeze Criticism After Drift Exploit,replace_link,https://defiliban.io/circle-usdc-freeze-criticism-drift-exploit/,already_clean
https://defiliban.io/drift-loses-285-million-fatal-blow-bear-market-defi/,https://defiliban.io/circle-faces-usdc-freeze-criticism-after-drift-exploit/,Circle Faces USDC Freeze Criticism After Drift Exploit,replace_link,https://defiliban.io/circle-usdc-freeze-criticism-drift-exploit/,already_clean
https://defiliban.io/drift-protocol-exploiter-buys-1195-eth-wallet-130262-eth/,https://defiliban.io/circle-faces-usdc-freeze-criticism-after-drift-exploit/,Circle Faces USDC Freeze Criticism After Drift Exploit,replace_link,https://defiliban.io/circle-usdc-freeze-criticism-drift-exploit/,already_clean
https://defiliban.io/delphx-capital-markets-delx-crypto-treasury-plans/,https://defiliban.io/ethereum-foundation-l1-l2-future-vision/,evolving regulatory landscape,replace_link,https://defiliban.io/ethereum-foundation-l1-l2-vision/,already_clean
https://defiliban.io/us-bitcoin-spot-etf-net-inflow-march-23-sosovalue/,https://defiliban.io/ethereum-foundation-l1-l2-future-vision/,broader digital asset ecosystem,replace_link,https://defiliban.io/ethereum-foundation-l1-l2-vision/,done
https://defiliban.io/wallet-0x8315-withdraws-10899-eth-binance/,https://defiliban.io/ethereum-foundation-l1-l2-future-vision/,Ethereum Foundation's recent outline of its L1 and L2 roadmap,replace_link,https://defiliban.io/ethereum-foundation-l1-l2-vision/,done
https://defiliban.io/ethlimo-post-mortem-ens-to-web-dns-hijack/,https://defiliban.io/ethereum-foundation-grant-review-highlights-ketman-security-project/,the Ethereum Foundation's grant review around Ketman Security,replace_link,https://defiliban.io/ethereum-foundation-grant-review-ketman-north-korean-hackers/,already_clean
https://defiliban.io/capital-b-buys-12-btc-holdings-rise-to-2937-btc/,https://defiliban.io/ethereum-foundation-grant-review-highlights-ketman-security-project/,institutional players navigate cautious sentiment,replace_link,https://defiliban.io/ethereum-foundation-grant-review-ketman-north-korean-hackers/,done
https://defiliban.io/bitcoin-etf-inflows-87k-claim-data-check-april-2026/,https://defiliban.io/ethereum-foundation-grant-review-highlights-ketman-security-project/,Ethereum Foundation's recent Ketman security grant review,replace_link,https://defiliban.io/ethereum-foundation-grant-review-ketman-north-korean-hackers/,already_clean
